RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2021-02-17;A1LL34;BRA1LLBDR007;A1LL;41;111,72;1;4580,52
2021-02-17;A1MD34;BRA1MDBDR002;A1MD;22;471,92;1;10382,24
2021-02-17;A1NE34;BRA1NEBDR008;A1NE;1;432,8;1;432,8
2021-02-17;A1ZN34;BRA1ZNBDR003;A1ZN;3;44,9933333;1;134,98
2021-02-17;AALR3;BRAALRACNOR6;AALR;1224183;10,922104;1;13370654,11
2021-02-17;AAPL34;BRAAPLBDR004;AAPL;125047;71,1573469;1;8898012,76
2021-02-17;ABCB4;BRABCBACNPR4;ABCB;2692485;15,6212651;1;42060022,08
2021-02-17;ABEV3;BRABEVACNOR1;ABEV;234834790;15,5039739;1;3640872472,95
2021-02-17;ADBE34;BRADBEBDR003;ADBE;15000;53,75;1;806250
2021-02-17;AERI3;BRAERIACNOR4;AERI;1308178;11,9794057;1;15671195,11
2021-02-17;AGRO3;BRAGROACNOR7;AGRO;272976;25,0054546;1;6825889
2021-02-17;ALPA3;BRALPAACNOR0;ALPA;250;35,57;1;8892,5
2021-02-17;ALPA4;BRALPAACNPR7;ALPA;4236929;40,152881;1;170124906,31
2021-02-17;ALPK3;BRALPKACNOR9;ALPK;6196;8,6727566;1;53736,4
2021-02-17;ALSO3;BRALSOACNOR5;ALSO;15020613;27,3131588;1;410260388,42
2021-02-17;ALUP11;BRALUPCDAM15;ALUP;1936404;25,8054248;1;49969727,97
2021-02-17;ALUP3;BRALUPACNOR8;ALUP;1800;8,8172222;1;15871
2021-02-17;ALUP4;BRALUPACNPR5;ALUP;900;8,5555555;1;7700
2021-02-17;ALZR11;BRALZRCTF006;ALZR;965;127,9576373;1;123479,12
2021-02-17;AMAR3;BRAMARACNOR4;AMAR;9089936;6,0723852;1;55197593,72
2021-02-17;AMBP3;BRAMBPACNOR6;AMBP;767846;25,6052162;1;19660862,9
2021-02-17;AMZO34;BRAMZOBDR002;AMZO;239642;113,7194891;1;27251965,83
2021-02-17;ANIM3;BRANIMACNOR6;ANIM;1107340;34,5890151;1;38301800,07
2021-02-17;APER3;BRAPERACNOR9;APER;75916;43,9752886;1;3338428,01
2021-02-17;ARZZ3;BRARZZACNOR3;ARZZ;1026683;70,6861015;1;72572218,81
2021-02-17;ATMP3;BRATMPACNOR8;ATMP;42;3,1445238;1;132,07
2021-02-17;ATOM3;BRATOMACNOR1;ATOM;8554;4,2473486;1;36331,82
2021-02-17;ATVI34;BRATVIBDR008;ATVI;100;555,36;1;55536
2021-02-17;AURA33;BRAURABDR001;AURA;101572;61,8551136;1;6282747,6
2021-02-17;AVLL3;BRAVLLACNOR5;AVLL;500;23,274;1;11637
2021-02-17;AXPB34;BRAXPBBDR007;AXPB;24;68,18;1;1636,32
2021-02-17;AZEV3;BRAZEVACNOR0;AZEV;11896;7,3260406;1;87150,58
2021-02-17;AZEV4;BRAZEVACNPR7;AZEV;7502;4,1038003;1;30786,71
2021-02-17;AZUL4;BRAZULACNPR4;AZUL;16117570;40,4081484;1;651281161,38
2021-02-17;B1IL34;BRB1ILBDR002;B1IL;600;164,56;1;98736
2021-02-17;B3SA3;BRB3SAACNOR6;B3SA;26272363;60,016357;1;1576771517,77
2021-02-17;BAAX39;BRBAAXBDR009;BAAX;6049;54,03;1;326827,47
2021-02-17;BABA34;BRBABABDR005;BABA;105133;50,2084369;1;5278563,6
2021-02-17;BAHI3;BRBAHIACNOR1;BAHI;101;85,5730693;1;8642,88
2021-02-17;BAZA3;BRBAZAACNOR0;BAZA;13;39,62;1;515,06
2021-02-17;BBAS3;BRBBASACNOR3;BBAS;23125570;35,205245;1;814141359,56
2021-02-17;BBDC3;BRBBDCACNOR1;BBDC;13239058;22,8335321;1;302294456,14
2021-02-17;BBDC4;BRBBDCACNPR8;BBDC;303436567;25,5439808;1;7750977848,16
2021-02-17;BBOV11;BRBBOVCTF001;BBOV;99824;60,5958123;1;6048916,37
2021-02-17;BBPO11;BRBBPOCTF003;BBPO;631;114,4647068;1;72227,23
2021-02-17;BBRK3;BRBBRKACNOR4;BBRK;837284;2,1020672;1;1760027,25
2021-02-17;BBSD11;BRBBSDCTF000;BBSD;550;94,990909;1;52245
2021-02-17;BBSE3;BRBBSEACNOR5;BBSE;40301889;28,6228599;1;1153555323,05
2021-02-17;BCFF11;BRBCFFCTF000;BCFF;35972;91,39008;1;3287483,96
2021-02-17;BCHI39;BRBCHIBDR001;BCHI;25;61,08;1;1527
2021-02-17;BCSA34;BRBCSABDR005;BCSA;4500;16,378;1;73701
2021-02-17;BEEF3;BRBEEFACNOR6;BEEF;11697464;9,6048942;1;112352905,28
2021-02-17;BEES3;BRBEESACNOR9;BEES;5767;5,1695942;1;29813,05
2021-02-17;BEGU39;BRBEGUBDR004;BEGU;1;48,29;1;48,29
2021-02-17;BERK34;BRBERKBDR002;BERK;110;62,8950909;1;6918,46
2021-02-17;BEWG39;BRBEWGBDR000;BEWG;1;59,14;1;59,14
2021-02-17;BEWT39;BRBEWTBDR003;BEWT;3;52,8133333;1;158,44
2021-02-17;BIAU39;BRBIAUBDR008;BIAU;1;46,71;1;46,71
2021-02-17;BIDI11;BRBIDICDAXX3;BIDI;1655720;136,6598216;1;226270399,92
2021-02-17;BIDI3;BRBIDIACNOR3;BIDI;60802;44,2546447;1;2690770,91
2021-02-17;BIDI4;BRBIDIACNPR0;BIDI;2204851;42,8072015;1;94383501,09
2021-02-17;BIEF39;BRBIEFBDR001;BIEF;3;46,93;1;140,79
2021-02-17;BIJH39;BRBIJHBDR006;BIJH;3;67,9533333;1;203,86
2021-02-17;BIOM3;BRBIOMACNOR2;BIOM;25583;15,4724277;1;395831,12
2021-02-17;BIVB39;BRBIVBBDR004;BIVB;231560;52,5911831;1;12178014,36
2021-02-17;BKBR3;BRBKBRACNOR4;BKBR;3250811;10,1347238;1;32946071,62
2021-02-17;BKNG34;BRBKNGBDR006;BKNG;7;66,42;1;464,94
2021-02-17;BMEB4;BRBMEBACNPR5;BMEB;69;17,68;1;1219,92
2021-02-17;BMGB4;BRBMGBACNPR0;BMGB;2576336;5,6269619;1;14496944,63
2021-02-17;BMOB3;BRBMOBACNOR7;BMOB;595929;21,8355212;1;13012420,35
2021-02-17;BNBR3;BRBNBRACNOR8;BNBR;20;74,04;1;1480,8
2021-02-17;BOAS3;BRBOASACNOR6;BOAS;1211455;11,9874593;1;14522267,62
2021-02-17;BOBR4;BRBOBRACNPR3;BOBR;65342;2,2526208;1;147190,75
2021-02-17;BONY34;BRBONYBDR001;BONY;22;223,82;1;4924,04
2021-02-17;BOVA11;BRBOVACTF003;BOVA;71167243;114,3072473;1;8134931648,25
2021-02-17;BOVB11;BRBOVBCTF001;BOVB;1116084;120,8226684;1;134848247,07
2021-02-17;BOVV11;BRBOVVCTF009;BOVV;27428305;118,9394974;1;3262308813,07
2021-02-17;BPAC11;BRBPACUNT006;BPAC;3932572;98,632362;1;387878865,29
2021-02-17;BPAC3;BRBPACACNOR7;BPAC;300;47,9;1;14370
2021-02-17;BPAC5;BRBPACACNPA0;BPAC;18;30,7627777;1;553,73
2021-02-17;BPAN4;BRBPANACNPR1;BPAN;8706038;10,9826919;1;95615733,88
2021-02-17;BRAP3;BRBRAPACNOR5;BRAP;12812;55,7823064;1;714682,91
2021-02-17;BRAP4;BRBRAPACNPR2;BRAP;9583665;68,5618065;1;657073385,72
2021-02-17;BRAX11;BRBRAXCTF002;BRAX;421;100,044133;1;42118,58
2021-02-17;BRCO11;BRBRCOCTF007;BRCO;174;114,1582758;1;19863,54
2021-02-17;BRCR11;BRBRCRCTF000;BRCR;23273;91,1678898;1;2121750,3
2021-02-17;BRDT3;BRBRDTACNOR1;BRDT;15891625;22,2215351;1;353136304,25
2021-02-17;BRFS3;BRBRFSACNOR8;BRFS;43967540;21,4113406;1;941403978,21
2021-02-17;BRIV3;BRBRIVACNOR6;BRIV;2;12,06;1;24,12
2021-02-17;BRKM3;BRBRKMACNOR1;BRKM;3042;28,7050295;1;87320,7
2021-02-17;BRKM5;BRBRKMACNPA4;BRKM;15601458;26,2467989;1;409488331,79
2021-02-17;BRML3;BRBRMLACNOR9;BRML;64182371;9,4841872;1;608717622,02
2021-02-17;BRPR3;BRBRPRACNOR9;BRPR;18780390;9,1374236;1;171604380,01
2021-02-17;BRSR3;BRBRSRACNOR3;BRSR;116;15,8001724;1;1832,82
2021-02-17;BRSR6;BRBRSRACNPB4;BRSR;7248293;13,5550427;1;98250921,48
2021-02-17;BSEV3;BRBSEVACNOR3;BSEV;33297;7,8944211;1;262860,54
2021-02-17;BTLG11;BRBTLGCTF000;BTLG;1745;113,0302005;1;197237,7
2021-02-17;BTOW3;BRBTOWACNOR8;BTOW;6765633;84,2070931;1;569714288,39
2021-02-17;C1CL34;BRC1CLBDR004;C1CL;139631;108,2516949;1;15115292,42
2021-02-17;CAMB3;BRCAMBACNOR4;CAMB;50600;5,5777075;1;282232
2021-02-17;CAML3;BRCAMLACNOR3;CAML;6582797;11,2651617;1;74156272,83
2021-02-17;CARD3;BRCARDACNOR9;CARD;245449;16,1274765;1;3958472,99
2021-02-17;CASH3;BRCASHACNOR8;CASH;489233;29,6025246;1;14482531,95
2021-02-17;CATP34;BRCATPBDR003;CATP;36;65,670625;1;2364,1425
2021-02-17;CCPR3;BRCCPRACNOR9;CCPR;89056;12,6747694;1;1128764,27
2021-02-17;CCRO3;BRCCROACNOR2;CCRO;36155427;12,75635;1;461211282,12
2021-02-17;CEAB3;BRCEABACNOR1;CEAB;7977726;12,2557695;1;97773171,54
2021-02-17;CEBR3;BRCEBRACNOR5;CEBR;100;132,14;1;13214
2021-02-17;CESP3;BRCESPACNOR3;CESP;15117;29,1671753;1;440920,19
2021-02-17;CESP6;BRCESPACNPB4;CESP;4822036;30,1814902;1;145536232,47
2021-02-17;CGAS5;BRCGASACNPA3;CGAS;1630;180,1207361;1;293596,8
2021-02-17;CGRA4;BRCGRAACNPR9;CGRA;8700;40,4704597;1;352093
2021-02-17;CHVX34;BRCHVXBDR008;CHVX;3600;48,9315722;1;176153,66
2021-02-17;CIEL3;BRCIELACNOR3;CIEL;107608845;3,9962611;1;430033041,71
2021-02-17;CLSC4;BRCLSCACNPR3;CLSC;100;52,17;1;5217
