RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2021-02-23;A1LL34;BRA1LLBDR007;A1LL;13;111,72;1;1452,36
2021-02-23;A1MD34;BRA1MDBDR002;A1MD;22;471,92;1;10382,24
2021-02-23;A1NE34;BRA1NEBDR008;A1NE;1;421;1;421
2021-02-23;A1UA34;BRA1UABDR001;A1UA;2;28,505;1;57,01
2021-02-23;A1ZN34;BRA1ZNBDR003;A1ZN;5047;46,1959877;1;233151,15
2021-02-23;AALL34;BRAALLBDR003;AALL;25;100,04;1;2501
2021-02-23;AALR3;BRAALRACNOR6;AALR;1263953;10,894266;1;13769840,24
2021-02-23;AAPL34;BRAAPLBDR004;AAPL;175320;69,9237041;1;12259023,81
2021-02-23;ABBV34;BRABBVBDR001;ABBV;5;581,6;1;2908
2021-02-23;ABCB4;BRABCBACNPR4;ABCB;2704112;15,5592986;1;42074086,07
2021-02-23;ABEV3;BRABEVACNOR1;ABEV;249385209;15,3755519;1;3834435229,46
2021-02-23;ACWI11;BRACWICTF001;ACWI;19540;10,49;1;204974,6
2021-02-23;ADBE34;BRADBEBDR003;ADBE;15081;53,7513964;1;810624,81
2021-02-23;AERI3;BRAERIACNOR4;AERI;964179;10,481741;1;10106274,65
2021-02-23;AGRO3;BRAGROACNOR7;AGRO;455278;23,9551289;1;10906243,21
2021-02-23;ALPA3;BRALPAACNOR0;ALPA;50272;32,4153703;1;1629585,5
2021-02-23;ALPA4;BRALPAACNPR7;ALPA;3704462;39,6669332;1;146944646,81
2021-02-23;ALPK3;BRALPKACNOR9;ALPK;7141;8,6544251;1;61801,25
2021-02-23;ALSO3;BRALSOACNOR5;ALSO;15174155;27,2408275;1;413356539,15
2021-02-23;ALUP11;BRALUPCDAM15;ALUP;1746161;25,8872812;1;45203360,83
2021-02-23;ALUP3;BRALUPACNOR8;ALUP;2800;8,6082142;1;24103
2021-02-23;ALUP4;BRALUPACNPR5;ALUP;900;8,5555555;1;7700
2021-02-23;ALZR11;BRALZRCTF006;ALZR;644;127,9317546;1;82388,05
2021-02-23;AMAR3;BRAMARACNOR4;AMAR;10059135;5,9294117;1;59644752,97
2021-02-23;AMBP3;BRAMBPACNOR6;AMBP;833509;25,3612785;1;21138853,89
2021-02-23;AMZO34;BRAMZOBDR002;AMZO;247029;113,7932792;1;28110239,97
2021-02-23;ANIM3;BRANIMACNOR6;ANIM;4088858;11,0951079;1;45366320,749618
2021-02-23;APER3;BRAPERACNOR9;APER;81392;49,2167893;1;4005852,92
2021-02-23;ARZZ3;BRARZZACNOR3;ARZZ;1141103;71,5229456;1;81615047,8
2021-02-23;ATMP3;BRATMPACNOR8;ATMP;42;3,1761904;1;133,4
2021-02-23;ATOM3;BRATOMACNOR1;ATOM;20226;4,2704212;1;86373,54
2021-02-23;ATVI34;BRATVIBDR008;ATVI;579;550,207202;1;318569,97
2021-02-23;AURA33;BRAURABDR001;AURA;99197;55,3615228;1;5491696,98
2021-02-23;AVLL3;BRAVLLACNOR5;AVLL;100;22,93;1;2293
2021-02-23;AZEV3;BRAZEVACNOR0;AZEV;4581;7,0014232;1;32073,52
2021-02-23;AZEV4;BRAZEVACNPR7;AZEV;26;3,845;1;99,97
2021-02-23;AZUL4;BRAZULACNPR4;AZUL;16633934;41,1635436;1;684711668,95
2021-02-23;B1IL34;BRB1ILBDR002;B1IL;7889;149,7223006;1;1181159,23
2021-02-23;B1TI34;BRB1TIBDR005;B1TI;2;39,45;1;78,9
2021-02-23;B3SA3;BRB3SAACNOR6;B3SA;27025225;59,6077984;1;1610914164,17
2021-02-23;BAAX39;BRBAAXBDR009;BAAX;4471;54,71;1;244608,41
2021-02-23;BABA34;BRBABABDR005;BABA;119156;50,3620031;1;6000934,85
2021-02-23;BACW39;BRBACWBDR007;BACW;18;51,87;1;933,66
2021-02-23;BAHI3;BRBAHIACNOR1;BAHI;100;85,63;1;8563
2021-02-23;BAZA3;BRBAZAACNOR0;BAZA;13;39,62;1;515,06
2021-02-23;BBAS3;BRBBASACNOR3;BBAS;32938038;33,7987361;1;1113264056,58
2021-02-23;BBDC3;BRBBDCACNOR1;BBDC;13531085;22,7223469;1;307458007,89
