RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2021-02-19;A1LL34;BRA1LLBDR007;A1LL;35;111,72;1;3910,2
2021-02-19;A1MD34;BRA1MDBDR002;A1MD;22;471,92;1;10382,24
2021-02-19;A1NE34;BRA1NEBDR008;A1NE;1;421;1;421
2021-02-19;A1UA34;BRA1UABDR001;A1UA;1;29,01;1;29,01
2021-02-19;A1ZN34;BRA1ZNBDR003;A1ZN;2;46,075;1;92,15
2021-02-19;AALR3;BRAALRACNOR6;AALR;1233423;10,9141792;1;13461799,7
2021-02-19;AAPL34;BRAAPLBDR004;AAPL;179159;70,0778063;1;12555069,71
2021-02-19;ABCB4;BRABCBACNPR4;ABCB;2635062;15,6183933;1;41155434,8
2021-02-19;ABEV3;BRABEVACNOR1;ABEV;243288315;15,4381702;1;3755926428,27
2021-02-19;ADBE34;BRADBEBDR003;ADBE;15081;53,7513964;1;810624,81
2021-02-19;AERI3;BRAERIACNOR4;AERI;939780;11,830445;1;11118015,64
2021-02-19;AGRO3;BRAGROACNOR7;AGRO;378865;24,3306933;1;9218048,14
2021-02-19;ALPA3;BRALPAACNOR0;ALPA;50250;32,4157711;1;1628892,5
2021-02-19;ALPA4;BRALPAACNPR7;ALPA;4102164;39,7955821;1;163248004,46
2021-02-19;ALPK3;BRALPKACNOR9;ALPK;5796;8,6832988;1;50328,4
2021-02-19;ALSO3;BRALSOACNOR5;ALSO;14933180;27,2709551;1;407242081,32
2021-02-19;ALUP11;BRALUPCDAM15;ALUP;1884239;25,7828208;1;48580996,62
2021-02-19;ALUP3;BRALUPACNOR8;ALUP;1800;8,8172222;1;15871
2021-02-19;ALUP4;BRALUPACNPR5;ALUP;900;8,5555555;1;7700
2021-02-19;ALZR11;BRALZRCTF006;ALZR;1065;128,4520563;1;136801,44
2021-02-19;AMAR3;BRAMARACNOR4;AMAR;9728823;5,9828432;1;58206022,61
2021-02-19;AMBP3;BRAMBPACNOR6;AMBP;812838;25,5081289;1;20733976,54
2021-02-19;AMZO34;BRAMZOBDR002;AMZO;244186;113,7707488;1;27781224,09
2021-02-19;ANIM3;BRANIMACNOR6;ANIM;1094335;33,9759267;1;37181045,77
2021-02-19;APER3;BRAPERACNOR9;APER;74605;44,6531345;1;3331347,1
2021-02-19;ARZZ3;BRARZZACNOR3;ARZZ;1021017;70,7796175;1;72267192,75
2021-02-19;ATMP3;BRATMPACNOR8;ATMP;42;3,1628571;1;132,84
2021-02-19;ATOM3;BRATOMACNOR1;ATOM;15626;4,2558261;1;66501,54
2021-02-19;ATVI34;BRATVIBDR008;ATVI;449;555,0491536;1;249217,07
2021-02-19;AURA33;BRAURABDR001;AURA;39844;56,299833;1;2243210,55
2021-02-19;AVLL3;BRAVLLACNOR5;AVLL;100;22,93;1;2293
2021-02-19;AXPB34;BRAXPBBDR007;AXPB;713;69,31;1;49418,03
2021-02-19;AZEV3;BRAZEVACNOR0;AZEV;1945;7,0846683;1;13779,68
2021-02-19;AZEV4;BRAZEVACNPR7;AZEV;1226;3,9615252;1;4856,83
2021-02-19;AZUL4;BRAZULACNPR4;AZUL;16713710;40,8773885;1;683212817,93
2021-02-19;B1IL34;BRB1ILBDR002;B1IL;2937;158,168747;1;464541,61
2021-02-19;B1PP34;BRB1PPBDR008;B1PP;7800;31,14;1;242892
2021-02-19;B1TI34;BRB1TIBDR005;B1TI;1;39,59;1;39,59
2021-02-19;B3SA3;BRB3SAACNOR6;B3SA;26741495;59,8990766;1;1601790857,86
2021-02-19;BABA34;BRBABABDR005;BABA;104549;50,3043815;1;5259272,79
2021-02-19;BAHI3;BRBAHIACNOR1;BAHI;100;85,63;1;8563
2021-02-19;BAZA3;BRBAZAACNOR0;BAZA;13;39,62;1;515,06
2021-02-19;BBAS3;BRBBASACNOR3;BBAS;27752687;34,7671482;1;964881783,67
2021-02-19;BBDC3;BRBBDCACNOR1;BBDC;13400516;22,7976661;1;305500490,1
2021-02-19;BBDC4;BRBBDCACNPR8;BBDC;305132610;25,4810668;1;7775104427,27
