tickers
ECOR3
BRFS3
TRPL3
LREN3
BPAC3
AVGO34
EUCA3
NVDC34
QAGR11
ABCB4
AMAR3
RANI3
BEFA39
JDCO34
XPML11
CSRN6
TGAR11
AVLL3
PEAB4
C1HI34
A1VB34
ALSO3
VIVR3
UCAS3
ALUP4
MNPR3
GOLL4
SULA11
BOAC34
ALPA4
TEXA34
HABT11
PLPL3
EAIN34
ITUB3
COWC34
GTWR11
CMIG4
BERK34
RECT11
BILF39
MOVI3
CASH3
PLAS3
CSNA3
BEGU39
WHRL4
INEP4
TGTB34
CARD3
BOAS3
CAMB3
ENBR3
MTSA4
BPAC11
BAZA3
EBAY34
CEGR3
CURY3
BOBR4
IVVB11
FDMO34
CHCM34
MRCK34
PRIO3
DOHL4
COLG34
BIDI11
ADBE34
CRIV4
PEPB34
BMOB3
AERI3
LAME3
SLED4
BSEV3
MSCD34
SBUB34
TASA4
B3SA3
SDIL11
CRFB3
ATOM3
AZEV4
PETZ3
TFCO4
MYPK3
MOSI3
ORCL34
TMCO34
FESA3
SPXI11
GPAR3
EZTC3
TIET11
ODPV3
BIJR39
YDUQ3
COCE5
HFOF11
JFEN3
U1BE34
BRCR11
OMGE3
ATVI34
BIEF39
CATP34
WEGE3
BEWG39
SAPR11
ITSA4
DISB34
FRAS3
BCSA34
CCPR3
SHOW3
PFIN11
RNEW3
ALZR11
EQTL3
BBSE3
BOVV11
A1ZN34
TELB3
WSON33
NOKI34
SULA4
BAAX39
ENEV3
SUZB3
ORVR3
ISUS11
CPFE3
AZUL4
JSRE11
INTU34
OSXB3
CTNM4
EALT3
BPAC5
ROMI3
SNEC34
PMAM3
BBSD11
SANB3
ENAT3
ENJU3
QUAL3
UPSS34
VERZ34
RRRP3
BIAU39
BBDC3
NFLX34
SBSP3
JALL3
GMCO34
DMMO3
ALUP3
MELK3
RBRF11
HETA4
ELET6
JHSF3
XPLG11
APER3
CGRA4
IGTA3
FLRY3
SMAC11
RSID3
HAPV3
LUPA3
BEEF3
PTBL3
OFSA3
EGIE3
RDNI3
TASA3
BSLV39
SLCE3
HYPE3
BIEM39
LCAM3
GOGL34
PDGR3
VINO11
GOAU3
MATB11
TCSA3
SAPR3
MSFT34
GPIV33
BCFF11
MEAL3
AAPL34
TELB4
GGBR4
XBOV11
WALM34
XPSF11
BRML3
OIBR3
GOLD11
N1DA34
ETER3
GPRO34
CCRO3
FBOK34
VIVA3
PFIZ34
C1BS34
EXXO34
RLOG3
MGLU3
COCA34
A1LL34
MBLY3
MDTC34
CVBI11
ENGI4
VAMO3
BIYW39
ECOO11
W1IX34
WEST3
BMGB4
G1SK34
VRTA11
POWE3
IRDM11
VGIR11
VULC3
MOOO34
EQIX34
CMCS34
BAHI3
HGBS11
BOVA11
ITSA3
TAEE4
PARD3
VLID3
CAML3
SAPP34
MILS3
UGPA3
CSED3
W1BO34
A1UA34
METB34
GRND3
CSCO34
BRKM5
SIMH3
HBSA3
P1LD34
GEPA3
NGRD3
MACY34
WHRL3
BIVB39
JBDU3
RDOR3
RCSL4
BACW39
ENGI3
BRCO11
BKBR3
TEKA4
IGBR3
ENGI11
NEXT34
BRIV3
CMIN3
BIJH39
HSML11
STBP3
SAPR4
PINE4
EUCA4
PDTC3
MDIA3
CEBR3
EURP11
B1IL34
CPTS11
VISA34
FRTA3
JSLG3
CPLE6
TECN3
TOTS3
