RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2021-02-26;A1LL34;BRA1LLBDR007;A1LL;13;111,72;1;1452,36
2021-02-26;A1MD34;BRA1MDBDR002;A1MD;22;471,92;1;10382,24
2021-02-26;A1NE34;BRA1NEBDR008;A1NE;1;421;1;421
2021-02-26;A1UA34;BRA1UABDR001;A1UA;2;28,505;1;57,01
2021-02-26;A1ZN34;BRA1ZNBDR003;A1ZN;135;45,9014074;1;6196,69
2021-02-26;AALL34;BRAALLBDR003;AALL;25;100,04;1;2501
2021-02-26;AALR3;BRAALRACNOR6;AALR;1941102;10,5161412;1;20412902,81
2021-02-26;AAPL34;BRAAPLBDR004;AAPL;169009;68,8673124;1;11639195,61
2021-02-26;ABCB4;BRABCBACNPR4;ABCB;2577388;15,4503246;1;39821481,4
2021-02-26;ABEV3;BRABEVACNOR1;ABEV;267507499;15,1786339;1;4060398411,83
2021-02-26;ACWI11;BRACWICTF001;ACWI;19540;10,49;1;204974,6
2021-02-26;ADBE34;BRADBEBDR003;ADBE;15034;53,750588;1;808086,34
2021-02-26;AERI3;BRAERIACNOR4;AERI;3021178;10,5442015;1;31855909,83
2021-02-26;AGRO3;BRAGROACNOR7;AGRO;487020;23,6961863;1;11540516,68
2021-02-26;ALPA3;BRALPAACNOR0;ALPA;17088;32,4463775;1;554443,7
2021-02-26;ALPA4;BRALPAACNPR7;ALPA;3662570;38,4096639;1;140678082,84
2021-02-26;ALPK3;BRALPKACNOR9;ALPK;9728;8,5689103;1;83358,36
2021-02-26;ALSO3;BRALSOACNOR5;ALSO;15668885;26,9459254;1;422212606,42
2021-02-26;ALUP11;BRALUPCDAM15;ALUP;2192836;25,3175674;1;55517273,33
2021-02-26;ALUP3;BRALUPACNOR8;ALUP;1600;8,71;1;13936
2021-02-26;ALUP4;BRALUPACNPR5;ALUP;1190;8,1542857;1;9703,6
2021-02-26;ALZR11;BRALZRCTF006;ALZR;709;128,7823695;1;91306,7
2021-02-26;AMAR3;BRAMARACNOR4;AMAR;10999078;5,8073004;1;63874950,11
2021-02-26;AMBP3;BRAMBPACNOR6;AMBP;863543;25,1190349;1;21691366,76
2021-02-26;AMZO34;BRAMZOBDR002;AMZO;150488;112,9247748;1;16993823,52
2021-02-26;ANIM3;BRANIMACNOR6;ANIM;3264398;10,9756365;1;35828845,937831
2021-02-26;APER3;BRAPERACNOR9;APER;79419;49,8654918;1;3960267,5
2021-02-26;ARZZ3;BRARZZACNOR3;ARZZ;997790;72,2767235;1;72116991,97
2021-02-26;ATMP3;BRATMPACNOR8;ATMP;465;3,3252043;1;1546,22
2021-02-26;ATOM3;BRATOMACNOR1;ATOM;21460;4,2130382;1;90411,8
2021-02-26;ATVI34;BRATVIBDR008;ATVI;4000;525,4999475;1;2101999,79
2021-02-26;AURA33;BRAURABDR001;AURA;39681;55,6474554;1;2208146,68
2021-02-26;AVLL3;BRAVLLACNOR5;AVLL;100;22,93;1;2293
2021-02-26;AZEV3;BRAZEVACNOR0;AZEV;3417;6,7739859;1;23146,71
2021-02-26;AZEV4;BRAZEVACNPR7;AZEV;732;3,7532513;1;2747,38
2021-02-26;AZUL4;BRAZULACNPR4;AZUL;16822717;42,5558259;1;715904617,41
2021-02-26;B1IL34;BRB1ILBDR002;B1IL;8467;148,6351352;1;1258493,69
2021-02-26;B1TI34;BRB1TIBDR005;B1TI;2;39,45;1;78,9
2021-02-26;B3SA3;BRB3SAACNOR6;B3SA;24999593;58,6966231;1;1467391688,52
2021-02-26;BABA34;BRBABABDR005;BABA;119103;49,7168727;1;5921428,7
2021-02-26;BACW39;BRBACWBDR007;BACW;2423;51,84;1;125608,32
2021-02-26;BAHI3;BRBAHIACNOR1;BAHI;100;85,63;1;8563
2021-02-26;BAZA3;BRBAZAACNOR0;BAZA;13;39,62;1;515,06
2021-02-26;BBAS3;BRBBASACNOR3;BBAS;32051929;31,6000667;1;1012843094,3
