tickers
BRDT3
BERK34
HOME34
BBRK3
PETR4
SSFO34
MULT3
B3SA3
WHRL3
MMMC34
PLAS3
HOOT4
UCAS3
SAPR11
RDOR3
MACY34
HGCR11
SMTO3
CMIN3
HFOF11
CRIV4
BNBR3
HAPV3
TAEE3
MCDC34
GOGL35
GOLD11
MSFT34
CPLE3
T1RO34
SEER3
PINE4
JALL3
P1LD34
VULC3
PGCO34
PEAB4
UNIP5
BPAC11
XPIN11
S1PO34
MILS3
CEBR3
BEFA39
TIET3
ODPV3
SAPP34
BRCO11
EMAE4
BSLV39
IRBR3
HGTX3
EUCA4
SMAC11
CRFB3
XBOV11
BRFS3
ROMI3
T1EV34
CNTO3
POSI3
RECT11
CESP3
JDCO34
AMBP3
AGRO3
ENGI11
CIEL3
ATVI34
LAVV3
BEWG39
FRTA3
GOLL4
F1NI34
ALUP3
BIYW39
CYRE3
ELET6
A1MD34
BIEF39
KLBN4
CAML3
BKNG34
CLSC4
KNIP11
KNCR11
TIET11
LOGN3
BIDU34
PTNT4
ABEV3
AERI3
DMMO3
BIVB39
SANB3
FRIO3
CPFE3
CSRN6
XPLG11
MSCD34
VRTX34
PFRM3
DDNB34
CRIV3
EQTL3
COGN3
AZUL4
VALE3
W1IX34
GFSA3
RADL3
C1CL34
TPIS3
LWSA3
VERZ34
HCTR11
RDSA34
MXRF11
RCRB11
BIJR39
G1SK34
VIVA3
HABT11
SPXI11
DIRR3
BAAX39
ENBR3
MCCI11
UNIP3
DIVO11
TFCO4
TXRX4
FBOK34
COCE5
P1UK34
ALPA3
BRAX11
MDTC34
MTSA4
MNPR3
TAEE11
VIVT3
BEGU39
DOHL4
BMOB3
AALL34
AZEV3
CPTS11
W1BO34
A1NE34
ECOO11
VISA34
ELMD3
R1CL34
ALSO3
WSON33
COCE3
BBDC3
BMGB4
IRDM11
VILG11
TESA3
VAMO3
CCPR3
E1TR34
BIDI4
BRSR6
PTNT3
SBSP3
C1BS34
GOVE11
HBOR3
PLPL3
HGLG11
BOAS3
EURP11
ACWI11
SULA11
EALT3
IGTA3
N1DA34
RCSL3
SANB11
RANI3
BCSA34
RBRF11
RENT3
RAPT4
TEKA4
ITLC34
CRPG6
GMCO34
IVVB11
SLED4
ELET3
MOSI3
KHCB34
LAME4
ORCL34
CSED3
RAIL3
RAPT3
BBSD11
GPIV33
CGAS5
AXPB34
LOGG3
DASA3
TUPY3
TGTB34
FDMO34
BGIP4
AMAR3
A1VB34
ENAT3
RBRR11
RRRP3
RLOG3
CVBI11
ECOR3
FRAS3
AAPL34
BBAS3
PRNR3
SNEC34
OSXB3
WHRL4
CEGR3
WEGE3
ATOM3
BCHI39
FSLR34
DMVF3
INTB3
MRFG3
INEP4
PAGS34
FLRY3
USIM3
M1SC34
POMO3
ORVR3
DTEX3
N1EM34
TRIS3
P1EA34
BPAC5
JFEN3
JBDU3
FHER3
OIBR3
BCFF11
CVCB3
FDXB34
PNVL3
SHOW3
DISB34
PGMN3
M1RN34
SGPS3
A1ZN34
TELB4
PETR3
XPML11
B1IL34
SANB4
BTOW3
XINA11
HBRE3
AZEV4
MUTC34
