RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2021-02-22;A1LL34;BRA1LLBDR007;A1LL;13;111,72;1;1452,36
2021-02-22;A1MD34;BRA1MDBDR002;A1MD;22;471,92;1;10382,24
2021-02-22;A1NE34;BRA1NEBDR008;A1NE;1;421;1;421
2021-02-22;A1UA34;BRA1UABDR001;A1UA;3;28,3366666;1;85,01
2021-02-22;A1ZN34;BRA1ZNBDR003;A1ZN;102;46,0014705;1;4692,15
2021-02-22;AALL34;BRAALLBDR003;AALL;25;100,04;1;2501
2021-02-22;AALR3;BRAALRACNOR6;AALR;1252623;10,9052247;1;13660135,34
2021-02-22;AAPL34;BRAAPLBDR004;AAPL;179222;70,0731319;1;12558646,85
2021-02-22;ABCB4;BRABCBACNPR4;ABCB;2635057;15,6000367;1;41106986,1
2021-02-22;ABEV3;BRABEVACNOR1;ABEV;245827650;15,4002466;1;3785806449,12
2021-02-22;ADBE34;BRADBEBDR003;ADBE;15081;53,7513964;1;810624,81
2021-02-22;AERI3;BRAERIACNOR4;AERI;946299;11,8018599;1;11168088,25
2021-02-22;AGRO3;BRAGROACNOR7;AGRO;380269;24,3107018;1;9244606,3
2021-02-22;ALPA3;BRALPAACNOR0;ALPA;50250;32,4157711;1;1628892,5
2021-02-22;ALPA4;BRALPAACNPR7;ALPA;4010409;39,7501679;1;159414431,41
2021-02-22;ALPK3;BRALPKACNOR9;ALPK;7141;8,6544251;1;61801,25
2021-02-22;ALSO3;BRALSOACNOR5;ALSO;15016003;27,2636351;1;409390826,55
2021-02-22;ALUP11;BRALUPCDAM15;ALUP;1690945;25,9731355;1;43919143,72
2021-02-22;ALUP3;BRALUPACNOR8;ALUP;1800;8,8172222;1;15871
2021-02-22;ALUP4;BRALUPACNPR5;ALUP;900;8,5555555;1;7700
2021-02-22;ALZR11;BRALZRCTF006;ALZR;844;128,1244668;1;108137,05
2021-02-22;AMAR3;BRAMARACNOR4;AMAR;9798098;5,9452509;1;58252151,7
2021-02-22;AMBP3;BRAMBPACNOR6;AMBP;807669;25,4778769;1;20577691,41
2021-02-22;AMZO34;BRAMZOBDR002;AMZO;243697;113,7891942;1;27730085,26
2021-02-22;ANIM3;BRANIMACNOR6;ANIM;4114608;11,1108321;1;45716718,85
2021-02-22;APER3;BRAPERACNOR9;APER;79436;49,2335303;1;3910914,72
2021-02-22;ARZZ3;BRARZZACNOR3;ARZZ;1015423;70,8356727;1;71928171,32
2021-02-22;ATMP3;BRATMPACNOR8;ATMP;46;3,1747826;1;146,04
2021-02-22;ATOM3;BRATOMACNOR1;ATOM;20226;4,2704212;1;86373,54
2021-02-22;ATVI34;BRATVIBDR008;ATVI;549;553,5101457;1;303877,07
2021-02-22;AURA33;BRAURABDR001;AURA;96200;55,3860497;1;5328137,99
2021-02-22;AVLL3;BRAVLLACNOR5;AVLL;100;22,93;1;2293
2021-02-22;AXPB34;BRAXPBBDR007;AXPB;713;69,31;1;49418,03
