RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2021-03-02;A1LL34;BRA1LLBDR007;A1LL;13;111,72;1;1452,36
2021-03-02;A1MD34;BRA1MDBDR002;A1MD;22;471,92;1;10382,24
2021-03-02;A1UA34;BRA1UABDR001;A1UA;2;28,505;1;57,01
2021-03-02;A1VB34;BRA1VBBDR007;A1VB;75;249,2;1;18690
2021-03-02;A1ZN34;BRA1ZNBDR003;A1ZN;3130;44,9449392;1;140677,66
2021-03-02;AALL34;BRAALLBDR003;AALL;1807;114,9212285;1;207662,66
2021-03-02;AALR3;BRAALRACNOR6;AALR;1995489;10,3421873;1;20637721,19
2021-03-02;AAPL34;BRAAPLBDR004;AAPL;93669;68,6437155;1;6429788,19
2021-03-02;ABCB4;BRABCBACNPR4;ABCB;2618024;15,4489531;1;40445730,08
2021-03-02;ABEV3;BRABEVACNOR1;ABEV;254702740;15,0395536;1;3830615528,55
2021-03-02;ABTT34;BRABTTBDR007;ABTT;1417;167,81;1;237786,77
2021-03-02;ACWI11;BRACWICTF001;ACWI;20133;10,4908836;1;211212,96
2021-03-02;ADBE34;BRADBEBDR003;ADBE;18708;53,245759;1;996121,66
2021-03-02;AERI3;BRAERIACNOR4;AERI;4216501;10,3973963;1;43840632,01
2021-03-02;AGRO3;BRAGROACNOR7;AGRO;413130;23,721651;1;9800125,68
2021-03-02;ALPA3;BRALPAACNOR0;ALPA;17088;32,4463775;1;554443,7
2021-03-02;ALPA4;BRALPAACNPR7;ALPA;3449735;37,9328307;1;130858213,94
2021-03-02;ALPK3;BRALPKACNOR9;ALPK;9196;8,5711613;1;78820,4
2021-03-02;ALSO3;BRALSOACNOR5;ALSO;16309593;26,6702404;1;434980767,66
2021-03-02;ALUP11;BRALUPCDAM15;ALUP;1996257;25,2225848;1;50350761,66
2021-03-02;ALUP3;BRALUPACNOR8;ALUP;1611;8,7052203;1;14024,11
2021-03-02;ALUP4;BRALUPACNPR5;ALUP;1200;8,1241666;1;9749
2021-03-02;ALZR11;BRALZRCTF006;ALZR;859;128,7749708;1;110617,7
2021-03-02;AMAR3;BRAMARACNOR4;AMAR;12019716;5,7100572;1;68633266,12
2021-03-02;AMBP3;BRAMBPACNOR6;AMBP;826176;24,9665436;1;20626759,14
2021-03-02;AMZO34;BRAMZOBDR002;AMZO;149607;113,1748376;1;16931747,94
2021-03-02;ANIM3;BRANIMACNOR6;ANIM;3126436;10,4726037;1;32741925,425384
2021-03-02;APER3;BRAPERACNOR9;APER;82919;49,6392985;1;4116041
2021-03-02;ARZZ3;BRARZZACNOR3;ARZZ;846226;71,964132;1;60897919,58
2021-03-02;ASAI3;BRASAIACNOR0;ASAI;9387395;86,1829901;1;809033771,25
2021-03-02;ATMP3;BRATMPACNOR8;ATMP;895;3,2266145;1;2887,82
2021-03-02;ATOM3;BRATOMACNOR1;ATOM;21360;4,2125374;1;89979,8
2021-03-02;ATTB34;BRATTBBDR007;ATTB;150;52,86;1;7929
2021-03-02;ATVI34;BRATVIBDR008;ATVI;6557;529,5661628;1;3472365,33
2021-03-02;AURA33;BRAURABDR001;AURA;40749;55,5552595;1;2263821,27
2021-03-02;AVGO34;BRAVGOBDR003;AVGO;3042;74,25;1;225868,5
2021-03-02;AVLL3;BRAVLLACNOR5;AVLL;100;22,93;1;2293
2021-03-02;AZEV3;BRAZEVACNOR0;AZEV;3450;6,7699304;1;23356,26
2021-03-02;AZEV4;BRAZEVACNPR7;AZEV;7484;3,6649959;1;27428,83
2021-03-02;AZUL4;BRAZULACNPR4;AZUL;15126790;42,295989;1;639802544,8
2021-03-02;B1AM34;BRB1AMBDR007;B1AM;12;57;1;684
2021-03-02;B1IL34;BRB1ILBDR002;B1IL;10668;147,4530605;1;1573029,25
2021-03-02;B1TI34;BRB1TIBDR005;B1TI;2;39,45;1;78,9
2021-03-02;B3SA3;BRB3SAACNOR6;B3SA;23488916;58,4749695;1;1373513647,97
2021-03-02;BAAX39;BRBAAXBDR009;BAAX;2255;52,86;1;119199,3
2021-03-02;BABA34;BRBABABDR005;BABA;103239;49,1079249;1;5069853,06
2021-03-02;BAHI3;BRBAHIACNOR1;BAHI;100;74,7;1;7470
2021-03-02;BAZA3;BRBAZAACNOR0;BAZA;13;39,62;1;515,06
2021-03-02;BBAS3;BRBBASACNOR3;BBAS;33374692;31,081478;1;1037334757,12
2021-03-02;BBDC3;BRBBDCACNOR1;BBDC;13298696;21,7811789;1;289661277,21
2021-03-02;BBDC4;BRBBDCACNPR8;BBDC;307073454;24,8961272;1;7644939787,16
2021-03-02;BBOV11;BRBBOVCTF001;BBOV;105121;59,5552079;1;6260503,01
2021-03-02;BBPO11;BRBBPOCTF003;BBPO;1218;113,7868719;1;138592,41
2021-03-02;BBRK3;BRBBRKACNOR4;BBRK;804972;2,0709543;1;1667060,26
2021-03-02;BBSD11;BRBBSDCTF000;BBSD;566;85,4033215;1;48338,28
2021-03-02;BBSE3;BRBBSEACNOR5;BBSE;46181892;27,4810299;1;1269125957,18
2021-03-02;BCFF11;BRBCFFCTF000;BCFF;42316;91,2664942;1;3862032,97
2021-03-02;BCHI39;BRBCHIBDR001;BCHI;5067;60,78;1;307972,26
2021-03-02;BCSA34;BRBCSABDR005;BCSA;4500;16,378;1;73701
2021-03-02;BEEF3;BRBEEFACNOR6;BEEF;13906240;9,5792364;1;133211160,63
2021-03-02;BEES3;BRBEESACNOR9;BEES;2178;5,1741735;1;11269,35
2021-03-02;BERK34;BRBERKBDR002;BERK;300;66,8074333;1;20042,23
2021-03-02;BEWG39;BRBEWGBDR000;BEWG;1;59,14;1;59,14
2021-03-02;BEWT39;BRBEWTBDR003;BEWT;466;54,399721;1;25350,27
2021-03-02;BIAU39;BRBIAUBDR008;BIAU;6842;45,9100964;1;314116,88
2021-03-02;BIDI11;BRBIDICDAXX3;BIDI;3783487;153,4439413;1;580553157,32
2021-03-02;BIDI3;BRBIDIACNOR3;BIDI;160030;52,1074863;1;8338761,04
2021-03-02;BIDI4;BRBIDIACNPR0;BIDI;2452386;49,8262065;1;122193091,49
2021-03-02;BIDU34;BRBIDUBDR002;BIDU;368;1568,7208695;1;577289,28
2021-03-02;BIEF39;BRBIEFBDR001;BIEF;4;49,38;1;197,52
2021-03-02;BIEM39;BRBIEMBDR007;BIEM;1790;60,82;1;108867,8
2021-03-02;BIJH39;BRBIJHBDR006;BIJH;2;67,925;1;135,85
2021-03-02;BIJR39;BRBIJRBDR005;BIJR;2;72,67;1;145,34
2021-03-02;BILF39;BRBILFBDR006;BILF;1174;50,23;1;58970,02
2021-03-02;BIOM3;BRBIOMACNOR2;BIOM;25583;15,0932259;1;386130
2021-03-02;BIVB39;BRBIVBBDR004;BIVB;233493;52,602877;1;12282403,56
2021-03-02;BIYW39;BRBIYWBDR004;BIYW;2625;13,94;1;36592,5
2021-03-02;BKBR3;BRBKBRACNOR4;BKBR;3764180;9,863105;1;37126502,72
2021-03-02;BKNG34;BRBKNGBDR006;BKNG;15;72,81;1;1092,15
2021-03-02;BMEB4;BRBMEBACNPR5;BMEB;1250;17,549872;1;21937,34
2021-03-02;BMGB4;BRBMGBACNPR0;BMGB;2713357;5,1860993;1;14071738,94
2021-03-02;BMOB3;BRBMOBACNOR7;BMOB;557532;24,195974;1;13490029,79
2021-03-02;BNBR3;BRBNBRACNOR8;BNBR;20;74,04;1;1480,8
2021-03-02;BNDA39;BRBNDABDR004;BNDA;2998;56,62;1;169746,76
2021-03-02;BOAC34;BRBOACBDR004;BOAC;12484;48,7156015;1;608165,57
2021-03-02;BOAS3;BRBOASACNOR6;BOAS;1243422;10,3903367;1;12919573,28
2021-03-02;BOBR4;BRBOBRACNPR3;BOBR;71439;2,1854603;1;156127,1
2021-03-02;BONY34;BRBONYBDR001;BONY;223;237,64;1;52993,72
2021-03-02;BOVA11;BRBOVACTF003;BOVA;72398739;112,4162403;1;8138794044,19
2021-03-02;BOVB11;BRBOVBCTF001;BOVB;1232880;117,7419096;1;145161645,51
2021-03-02;BOVV11;BRBOVVCTF009;BOVV;28847212;117,2698802;1;3382909097,44
2021-03-02;BPAC11;BRBPACUNT006;BPAC;3646286;104,5169123;1;381098554,3
2021-03-02;BPAC5;BRBPACACNPA0;BPAC;17;31,0341176;1;527,58
2021-03-02;BPAN4;BRBPANACNPR1;BPAN;8489604;12,3976221;1;105250903
2021-03-02;BRAP3;BRBRAPACNOR5;BRAP;25102;55,6236606;1;1396265,13
2021-03-02;BRAP4;BRBRAPACNPR2;BRAP;7620533;65,0226703;1;495507405,22
2021-03-02;BRAX11;BRBRAXCTF002;BRAX;412;98,7680097;1;40692,42
2021-03-02;BRCO11;BRBRCOCTF007;BRCO;296;112,3556081;1;33257,26
2021-03-02;BRCR11;BRBRCRCTF000;BRCR;5374;88,0815295;1;473350,14
2021-03-02;BRDT3;BRBRDTACNOR1;BRDT;30867637;21,6638523;1;668711930,52
2021-03-02;BRFS3;BRBRFSACNOR8;BRFS;37598480;22,4011922;1;842250777,95
2021-03-02;BRIV3;BRBRIVACNOR6;BRIV;2;12,06;1;24,12
2021-03-02;BRKM3;BRBRKMACNOR1;BRKM;2279;29,1410267;1;66412,4
